cutoff,instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
60,graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,60.008466,60.028662
60,graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,60.045639,60.035671
60,graphpart_3g-0234-0234.lp,min,-1952753.0,-1952753.0,tie,0,0,60.018391,60.019948
60,graphpart_3g-0244-0244.lp,min,-2686942.0,-2686942.0,tie,0,0,60.014442,60.018657
60,graphpart_3g-0333-0333.lp,min,-1882389.0,-1882389.0,tie,0,0,60.019574,60.028694
60,graphpart_3g-0334-0334.lp,min,-2768659.0,-2768659.0,tie,0,0,60.023077,60.008577
60,graphpart_3g-0344-0344.lp,min,-4963154.0,-4963154.0,tie,0,0,60.028686,60.0241
60,graphpart_3g-0444-0444.lp,min,-7603756.0,-7603756.0,tie,0,0,60.068846,60.053632
60,graphpart_3pm-0234-0234.lp,min,-20.0,-20.0,tie,0,0,60.01064,60.017002
60,graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,60.019554,60.025431
60,graphpart_3pm-0333-0333.lp,min,-26.0,-26.0,tie,0,0,60.012075,60.020054
60,graphpart_3pm-0334-0334.lp,min,-36.0,-36.0,tie,0,0,60.011909,60.009309
60,graphpart_3pm-0344-0344.lp,min,-48.0,-48.0,tie,0,0,60.014046,60.039497
60,nvs03.lp,min,64.0,64.0,tie,0,0,60.012653,60.007459
60,nvs10.lp,min,-310.8,-310.8,tie,0,0,60.01173,60.008762
60,nvs11.lp,min,-431.0,-431.0,tie,0,0,60.007332,60.006803
60,nvs12.lp,min,-481.2,-481.2,tie,0,0,60.015872,60.013842
60,nvs13.lp,min,-585.2,-585.2,tie,0,0,60.029999,60.016677
60,nvs15.lp,min,1.0,1.0,tie,0,0,60.009041,60.00829
60,nvs17.lp,min,-1100.4,-1100.4,tie,0,0,60.028831,60.00918
60,nvs18.lp,min,-778.4,-778.4,tie,0,0,60.030997,60.010836
60,nvs19.lp,min,-1098.4,-1098.4,tie,0,0,60.016861,60.015516
60,nvs23.lp,min,-1125.2,-1125.2,tie,0,0,60.017443,60.020166
60,nvs24.lp,min,-1033.2,-1033.2,tie,0,0,60.021868,60.01658
60,pb302035.lp,min,3818368.0,3818368.0,tie,0,0,69.248426,63.458704
60,pb302055.lp,min,3966094.0,3966094.0,tie,0,0,69.561688,65.102203
60,pb302075.lp,min,4191764.0,4191764.0,tie,0,0,62.615782,69.934295
60,pb351535.lp,min,5115148.0,5115148.0,tie,0,0,60.623602,65.552279
60,pb351555.lp,min,4888133.0,4888133.0,tie,0,0,62.408768,61.107128
60,pb351575.lp,min,6553485.0,6553485.0,tie,0,0,63.941654,61.114917
60,prob02.lp,min,144170.0,144170.0,tie,0,0,60.023141,60.015119
60,prob03.lp,min,10.0,10.0,tie,0,0,60.008569,60.007499
60,QPLIB_0067.lp,min,-94446.0,-94446.0,tie,0,0,60.182432,60.051444
60,QPLIB_0633.lp,min,82.048035,82.048035,tie,0,0,60.20124,60.169256
60,QPLIB_0752.lp,max,24071.0,24071.0,tie,0,0,60.178213,60.350706
60,QPLIB_10040.lp,min,0.0,0.0,tie,0,0,60.283051,60.773967
60,QPLIB_10041.lp,min,0.0,0.0,tie,0,0,60.277967,60.107275
60,QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,60.157281,60.605742
60,QPLIB_10043.lp,min,0.0,0.0,tie,0,0,60.562898,60.308887
60,QPLIB_10044.lp,min,-7.868867,-7.868867,tie,0,0,61.352169,60.500679
60,QPLIB_10045.lp,min,0.0,0.0,tie,0,0,60.137101,61.275657
60,QPLIB_10046.lp,min,-0.7127,-0.7127,tie,0,0,60.375329,61.018426
60,QPLIB_10047.lp,min,0.0,0.0,tie,0,0,60.566387,60.938182
60,QPLIB_10048.lp,min,-13.562674,-13.562674,tie,0,0,61.35481,60.708883
60,QPLIB_10049.lp,min,0.0,0.0,tie,0,0,60.100947,60.320976
60,QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,60.304259,60.974209
60,QPLIB_10051.lp,min,0.0,0.0,tie,0,0,60.102901,61.251613
60,QPLIB_10052.lp,min,-11.810576,-11.810576,tie,0,0,60.893449,60.096681
60,QPLIB_10053.lp,min,0.0,0.0,tie,0,0,60.137823,60.331638
60,QPLIB_10054.lp,min,-10.197064,-10.197064,tie,0,0,60.391598,60.370496
60,QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,60.937404,60.556755
60,QPLIB_10056.lp,min,-33.856789,-33.856789,tie,0,0,60.583372,61.246871
